item_id,store_id,avg_pred,reorder_point,safety_stock
HOUSEHOLD_1_441,CA_1,5.3065343,39.20139,2.055651
HOUSEHOLD_1_294,CA_2,5.2793117,38.85031,1.8951318
HOBBIES_1_370,CA_2,5.265363,39.10183,2.2442832
FOODS_2_293,WI_2,5.1946626,37.847454,1.4848207
HOBBIES_1_295,CA_4,5.1892943,38.54239,2.2173238
FOODS_3_636,CA_3,5.1467376,38.025795,1.9986306
FOODS_3_570,TX_2,5.111244,38.14255,2.3638422
HOUSEHOLD_1_430,CA_2,5.0603623,37.402973,1.9804367
HOUSEHOLD_2_044,WI_3,5.036363,37.058796,1.8042505
FOODS_1_012,CA_4,4.99118,36.825348,1.8870894
FOODS_3_741,CA_2,4.9675374,37.00194,2.2291775
HOUSEHOLD_1_414,WI_2,4.960971,36.845238,2.1184397
FOODS_3_406,CA_2,4.960051,36.992737,2.2723832
FOODS_3_317,CA_1,4.9164824,36.30129,1.8859098
HOBBIES_1_189,CA_3,4.886093,35.63932,1.4366665
FOODS_2_383,WI_2,4.856671,36.5236,2.52691
HOUSEHOLD_1_096,CA_2,4.848091,35.774914,1.8382803
FOODS_3_540,CA_4,4.830481,35.218742,1.4053751
HOBBIES_1_295,WI_1,4.8159842,36.014107,2.3022156
FOODS_1_046,WI_2,4.773572,35.492218,2.0772145
FOODS_2_065,WI_1,4.7686834,35.12149,1.7407091
FOODS_3_526,WI_2,4.700521,35.12678,2.2231307
HOBBIES_1_014,CA_3,4.6679616,34.69069,2.0149567
HOUSEHOLD_1_294,CA_1,4.6669106,34.879066,2.2106922
FOODS_3_393,TX_1,4.666554,34.353157,1.6872784
FOODS_3_738,CA_3,4.6413302,34.633682,2.1443713
FOODS_3_672,WI_1,4.631655,34.393272,1.9716886
FOODS_3_618,CA_1,4.622418,34.067337,1.7104114
FOODS_3_321,CA_3,4.5950828,34.087,1.9214201
HOUSEHOLD_1_179,TX_2,4.581901,34.159027,2.0857186
HOBBIES_1_008,CA_4,4.547458,33.380257,1.5480508
FOODS_3_399,WI_2,4.537539,33.301258,1.5384866
FOODS_3_603,CA_3,4.5256867,33.695686,2.015877
HOUSEHOLD_1_262,CA_1,4.50512,33.622173,2.0863342
FOODS_2_240,WI_2,4.471676,32.89942,1.5976889
HOUSEHOLD_1_338,CA_1,4.4716706,33.4461,2.1444018
HOUSEHOLD_1_339,CA_2,4.4238076,33.262924,2.2962716
HOBBIES_1_348,WI_1,4.4094615,33.04085,2.1746192
FOODS_3_321,TX_1,4.4041634,32.973507,2.1443615
HOBBIES_1_019,CA_4,4.4033575,32.80229,1.9787867
FOODS_2_112,TX_3,4.3439817,32.076027,1.6681572
FOODS_2_346,CA_2,4.342919,32.492588,2.0921562
FOODS_3_566,WI_1,4.3321123,32.23155,1.9067665
FOODS_3_618,WI_2,4.3181224,32.247124,2.0202663
HOUSEHOLD_1_173,CA_1,4.3072405,31.809168,1.6584846
FOODS_3_300,CA_3,4.3050413,31.717241,1.5819517
HOBBIES_1_178,CA_4,4.287551,32.14686,2.1340039
FOODS_3_524,WI_1,4.2549,31.85347,2.0691688
FOODS_3_692,CA_3,4.231597,31.589663,1.9684836
HOBBIES_1_370,TX_2,4.229031,31.967611,2.3643937
FOODS_3_107,CA_1,4.2138715,31.77994,2.28284
FOODS_3_702,TX_2,4.198076,31.293882,1.9073493
FOODS_3_124,CA_4,4.164706,31.225254,2.0723128
HOBBIES_1_288,CA_4,4.1505194,31.284025,2.2303896
FOODS_3_041,CA_3,4.141433,30.549192,1.5591637
HOUSEHOLD_2_294,CA_2,4.13927,30.778399,1.8035091
FOODS_3_530,CA_1,4.115063,30.478424,1.67298
HOBBIES_1_261,WI_1,4.1042337,30.276937,1.5473044
FOODS_3_259,WI_2,4.100374,30.774103,2.0714839
FOODS_3_133,WI_1,4.083659,30.257795,1.6721808
HOBBIES_1_398,TX_1,4.052259,30.088778,1.722965
FOODS_2_026,WI_2,4.025897,30.022696,1.8414161
FOODS_3_461,TX_2,4.008964,30.378065,2.3153138
FOODS_3_059,WI_1,3.9589953,29.834509,2.1215415
HOUSEHOLD_1_416,TX_1,3.9501534,29.28338,1.6323053
FOODS_3_661,CA_1,3.948845,29.92899,2.2870758
FOODS_2_241,CA_4,3.942742,29.416433,1.8172377
FOODS_3_681,WI_1,3.9306748,29.200933,1.6862131
HOBBIES_1_014,WI_2,3.9155293,29.160131,1.7514278
FOODS_3_041,CA_1,3.914207,29.246634,1.8471869
FOODS_2_204,WI_3,3.9043846,28.992388,1.6616943
FOODS_2_272,WI_3,3.9015727,29.201551,1.8905436
FOODS_3_064,TX_2,3.8671985,28.81655,1.7461612
FOODS_2_286,TX_3,3.8645499,29.058544,2.0066934
HOUSEHOLD_1_474,TX_1,3.8599021,28.855206,1.8358904
FOODS_3_598,CA_2,3.8571439,28.523478,1.5234672
FOODS_3_233,TX_3,3.846252,29.167866,2.2441041
FOODS_1_023,CA_3,3.840831,29.223726,2.3379104
